"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"17993",,,"DLS:000000000017993","Investigating the charge-ordered phase in layered nickelates","Diamond Light Source","false","Published (Approved)","06/2024","30296","Science Highlight",,,,,"false",,"true","true","I21-Resonant Inelastic X-ray Scattering (RIXS)",,,"Materials, Physics","",,,"Surfaces, Superconductors, Quantum Materials, Hard condensed matter - electronic properties, Physics, Hard condensed matter - structures, Magnetism, Materials Science, interfaces and thin films, Perovskites, Metallurgy, Scattering, Spectroscopy, Resonant Inelastic X-ray Scattering (RIXS), X-ray Absorption Spectroscopy (XAS)",,,"14/06/2024"
"18033",,,"DLS:000000000018033","Carbon nanotubes allow next-gen semiconductor synthesis","Diamond Light Source","false","Published (Approved)","06/2024","25251","Science Highlight",,,,,"false",,"true","true","E02-JEM ARM 300CF",,,"Materials, Physics","","III−VI semiconductor; indium selenide; phase change material; nanoribbons; nanowires; carbon nanotubes","Semiconductors","Physics, Electronics, Materials Science, Nanoscience/Nanotechnology, Microscopy, Electron Microscopy (EM), Transmission Electron Microscopy (TEM)",,,"21/06/2024"
"17850",,,"DLS:00000A000017850","70 years in the making: a historical virus sample reveals a novel protein structure","Diamond Light Source","false","Published (Approved)","05/2024","19946, 23570, 27314, 28534","Science Highlight",,,,,"false",,"true","true","I24-Microfocus Macromolecular Crystallography, VMXm-Versatile Macromolecular Crystallography microfocus",,,"Biology and Bio-materials","","Nanocrystallography; Viral proteins; Viral transmission",,"Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX), Single Wavelength Anomalous Diffraction (SAD)",,,"08/05/2024"
"17912",,,"DLS:000015000017912","Highlighting cubosome research at Diamond","Diamond Light Source","false","Published (Approved)","05/2024","29646, 16566, 26258, 28627","Science Highlight",,,,,"false",,"true","true","B21-High Throughput SAXS, labSAXS-Offline SAXS and Sample Environment Development, I22-Small angle scattering & Diffraction",,,"Biology and Bio-materials, Medicine, Materials","","Affimers; cubosomes; lipids; lyotropic liquid crystalline nanoparticles; cancer; active targeting; cubosome; active targeting; rhabdomyosarcoma; helenalin; nanoparticle functionalization","Colorectal Cancer","Drug Delivery, Non-Communicable Diseases, Health & Wellbeing, Cancer, Materials Science, Nanoscience/Nanotechnology, Life Sciences & Biotech, Scattering, Small Angle X-ray Scattering (SAXS)",,,"29/05/2024"
"17911",,,"DLS:00000F000017911","Surface secrets: understanding stainless steel's resistance to hydrogen embrittlement","Diamond Light Source","false","Published (Approved)","05/2024","23388","Science Highlight",,,,,"false",,"true","true","I07-Surface & interface diffraction",,,"Materials, Chemistry, Physics","","Passive film; Cathodic polarization; Super duplex stainless steel; Hydrogen embrittlement; Ab-initio density-functional theory; FactSage thermodynamics","Alloys","Surfaces, Physics, Physical Chemistry, Chemistry, Corrosion, Materials Science, interfaces and thin films, Metallurgy, Diffraction, Grazing Incidence X-ray Diffraction (GIXD), X-ray Reflectivity (XRR)",,,"29/05/2024"
"17913",,,"DLS:000014000017913","New research on energy storage at Diamond","Diamond Light Source","false","Published (Approved)","05/2024","20060","Science Highlight",,,,,"false",,"true","true","B18-Core EXAFS, I15-1-X-ray Pair Distribution Function (XPDF), I20-Scanning-X-ray spectroscopy (XAS/XES)","Other Facilities: P02.1 at PETRA III",,"Materials, Chemistry, Energy","",,"Batteries; Sodium-ion; Lithium-ion","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Nanoscience/Nanotechnology, Scattering, Spectroscopy, Total Scattering, X-ray Absorption Spectroscopy (XAS), X-ray Emission Spectroscopy (XES), Extended X-ray Absorption Fine Structure (EXAFS), High Energy Resolution Fluorescence Detected XAS (HERFD-XAS)",,,"29/05/2024"
"17949",,,"DLS:000000000017949","Understanding a protein that fuels bowel cancer","Diamond Light Source","false","Published (Approved)","05/2024","28549, 15624, 16822, 16023, 21809","Science Highlight",,,,,"false",,"true","true","Krios I-Titan Krios I at Diamond, Krios II-Titan Krios II at Diamond, Krios III-Titan Krios III at Diamond ",,,"Biology and Bio-materials, Chemistry, Medicine","",,,"Non-Communicable Diseases, Health & Wellbeing, Cancer, Biochemistry, Chemistry, Structural biology, Biophysics, Drug Discovery, Life Sciences & Biotech, Microscopy, Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM)",,,"07/06/2024"
"17708",,,"DLS:000013000017708","Capturing sulphur dioxide in zirconium-based metal-organic frameworks (MOFs)","Diamond Light Source","false","Published (Approved)","04/2024","28497, 29649","Science Highlight",,,,,"false",,"true","true","B22-Multimode InfraRed imaging And Microspectroscopy, I11-High Resolution Powder Diffraction","VISION at Oak Ridge National Laboratory",,"Chemistry, Materials, Environment","","metal-organic framework; sulfur dioxide; capture; crystallography; conversion","Gas Separation","Desertification & Pollution, Earth Sciences & Environment, Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Metal-Organic Frameworks, Metallurgy, Diffraction, Spectroscopy, X-ray Powder Diffraction, Infrared Spectroscopy, Synchtron-based Fourier Transform Infrared Spectroscopy (SR-FTIR), Organometallic Chemistry",,,"04/04/2024"
"17745",,,"DLS:000000000017745","From greenhouse gas to green synthesis: CO2 as a raw material for next-generation polymers","Diamond Light Source","false","Published (Approved)","04/2024","2617","Science Highlight",,,,,"false",,"true","true","labSAXS-Offline SAXS and Sample Environment Development",,,"Materials, Environment, Chemistry","","Carbon dioxide; thermoplastic elastomers; ionomers; epoxide; lactone; polyester; polycarbonate; bio-derived; ring-opening polymerization; ring-opening copolymerization","Plastics","Earth Sciences & Environment, Climate Change, Chemistry, Materials Science, Organic Chemistry, Polymer Science, Scattering, Small Angle X-ray Scattering (SAXS)",,,"12/04/2024"
"17801",,,"DLS:000019000017801","Exploring the dynamics of catalysis: single atoms vs. nanoparticles","Diamond Light Source","false","Published (Approved)","04/2024","29667","Science Highlight",,,,,"false",,"true","true","I20-EDE-Energy Dispersive EXAFS (EDE)",,,"Chemistry, Materials","",,,"Physical Chemistry, Catalysis, Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Spectroscopy, X-ray Absorption Spectroscopy (XAS)",,,"25/04/2024"
"17112",,,"DLS:000000000017112","Taking candid shots of radical proteins","Diamond Light Source","false","Published (Approved)","02/2024","","Science Highlight",,,,,"false",,"true","false","",,"X06SA (PXI) at SLS; PROXIMA 1, PROXIMA 2A at SOLEIL","Biology and Bio-materials, Chemistry","",,"Enzymes","Health & Wellbeing, Biochemistry, Chemistry, Structural biology, Drug Discovery, Life Sciences & Biotech",,,"14/02/2024"
"17194",,,"DLS:00001C000017194","From theory to confidence: building trust in twistronics models","Diamond Light Source","false","Published (Approved)","02/2024","20573, 28919, 32737","Science Highlight",,,,,"false",,"true","true","I05-ARPES",,,"Materials, Physics","","graphene; twistronics; moiré; flat band; angle-resolved photoemission spectroscopy",,"Physics, Hard condensed matter - structures, Materials Science, Spectroscopy, Angle Resolved Photoemission Spectroscopy (ARPES), Nano ARPES",,,"29/02/2024"
"17223",,,"DLS:000000000017223","Understanding the power of movement in plants","Diamond Light Source","false","Published (Approved)","02/2024","21404, 27980","Science Highlight",,,,,"false",,"true","true","Krios II-Titan Krios II at Diamond",,,"Biology and Bio-materials, Chemistry","",,"Herbicides","Plant science, Biochemistry, Agriculture & Fisheries, Chemistry, Structural biology, Biophysics, Life Sciences & Biotech, Microscopy, Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM)",,,"08/03/2024"
"17151",,,"DLS:000019000017151","Control of zeolite microenvironment for biomass conversion","Diamond Light Source","false","Published (Approved)","02/2024","28575","Science Highlight",,,,,"false",,"true","true","I20-EDE-Energy Dispersive EXAFS (EDE)",,,"Chemistry, Materials, Environment","","niobium sites; 2-methyltetrahydrofuran; cleavage of C-O bond; pentadienes",,"Zeolites, Earth Sciences & Environment, Climate Change, Physical Chemistry, Catalysis, Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Spectroscopy, X-ray Absorption Spectroscopy (XAS)",,,"22/02/2024"
"17007",,,"DLS:000000000017007","Illuminating the future: a game-changing approach to quantum dot production","Diamond Light Source","false","Published (Approved)","01/2024","28101","Science Highlight",,,,,"false",,"true","true","E01-JEM ARM 200CF",,,"Materials, Chemistry","",,"Semiconductors","Quantum Materials, Chemistry, Materials Science, Inorganic Chemistry, Nanoscience/Nanotechnology, Microscopy, Electron Microscopy (EM), Scanning Transmission Electron Microscopy (STEM)",,,"19/01/2024"
"17055",,,"DLS:00000C000017055","Fragment screening offers new leads in the search for Alzheimer's treatments","Diamond Light Source","false","Published (Approved)","01/2024","16814, 19446","Science Highlight",,,,,"false",,"true","true","I04-1-Macromolecular Crystallography (fixed wavelength)",,,"Biology and Bio-materials, Chemistry, Medicine","","Rodent models; Central nervous system; Triazole; Inhibitors","Alzheimer's Disease","Neurodegenerative Diseases, Non-Communicable Diseases, Health & Wellbeing, Biochemistry, Neurology, Chemistry, Structural biology, Organic Chemistry, Drug Discovery, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX), Fragment Screening",,,"31/01/2024"
"17032",,,"DLS:000006000017032","Strain could have massive potential to squeeze new information out of quantum materials","Diamond Light Source","false","Published (Approved)","01/2024","23580, 25554","Science Highlight",,,,,"false",,"true","true","I16-Materials and Magnetism","WISH at ISIS; D9 at ILL",,"Materials, Physics","",,,"Quantum Materials, Hard condensed matter - electronic properties, Physics, Hard condensed matter - structures, Magnetism, Materials Science, Scattering",,,"24/01/2024"
"16831",,,"DLS:00000F000016831","Designing 'smart' crystalline membranes for graded molecular sieving","Diamond Light Source","false","Published (Approved)","12/2023","24359, 23666","Science Highlight",,,,,"false",,"true","true","I07-Surface & interface diffraction, I11-High Resolution Powder Diffraction",,,"Materials, Chemistry","","Materials science; Nanoscale materials; Porous materials; Self-assembly; Two-dimensional materials",,"Surfaces, Physics, Chemistry, Materials Science, interfaces and thin films, Organic Chemistry, Diffraction, Grazing Incidence X-ray Diffraction (GIXD), X-ray Powder Diffraction",,,"08/12/2023"
"16802",,,"DLS:000000000016802","A closer look at how cells package DNA","Diamond Light Source","false","Published (Approved)","12/2023","29812","Science Highlight",,,,,"false",,"true","true","Krios III-Titan Krios III at Diamond , Krios IV-Titan Krios IV at Diamond",,,"Biology and Bio-materials","",,,"Health & Wellbeing, Structural biology, Life Sciences & Biotech, Imaging, Tomography, Cryo Electron Tomography (Cryo ET)",,,"01/12/2023"
"16918",,,"DLS:000004000016918","Diamond celebrates 13,000th paper - unlocking the full potential of Fischer−Tropsch synthesis catalysts","Diamond Light Source","false","Published (Approved)","12/2023","24409","Science Highlight",,,,,"false",,"true","true","I06-Nanoscience (XPEEM)","HarwellXPS; ISIS Materials Characterization Lab",,"Materials, Chemistry","",,,"Physical Chemistry, Catalysis, Chemistry, Materials Science, Nanoscience/Nanotechnology, Microscopy, Spectroscopy, Electron Microscopy (EM), PhotoEmmission Electron Microscopy (PEEM), X-ray Absorption Spectroscopy (XAS)",,,"03/01/2024"
"16879",,,"DLS:00000E000016879","From plant waste to petrol tanks: using nature's solution to break down biomass","Diamond Light Source","false","Published (Approved)","12/2023","28477","Science Highlight",,,,,"false",,"true","true","I20-Scanning-X-ray spectroscopy (XAS/XES)",,,"Biology and Bio-materials, Chemistry, Energy","",,"Enzymes; Biofuel","Bioenergy, Biotechnology, Energy, Biochemistry, Catalysis, Chemistry, Structural biology, Engineering & Technology, Life Sciences & Biotech, Spectroscopy, X-ray Absorption Spectroscopy (XAS), High Energy Resolution Fluorescence Detected XAS (HERFD-XAS)",,,"15/12/2023"
"16705",,,"DLS:000007000016705","Arsenic and artistry: uncovering secrets in Pietro Lorenzetti's paintings","Diamond Light Source","false","Published (Approved)","11/2023","17644","Science Highlight",,,,,"false",,"true","true","I18-Microfocus Spectroscopy",,,"Archaeological and Cultural Heritage, Materials, Chemistry","","Orpiment; arsenolite; acanthite; xanthoconite; XANES mapping; Pietro Lorenzetti; fourteenth-century paintings; pigment degradation; mordant","Paintings","Cultural Heritage, Humanities, Chemistry, Materials Science, Inorganic Chemistry, Diffraction, Imaging, Spectroscopy, X-ray Fluorescence (XRF), X-ray Absorption Spectroscopy (XAS), X-ray Absorption Near Edge Structure (XANES), microXRD",,,"07/11/2023"
"16759",,,"DLS:000014000016759","Synchrotron studies show balance is the key to catalysing methanol production","Diamond Light Source","false","Published (Approved)","11/2023","30647","Science Highlight",,,,,"false",,"true","true","B18-Core EXAFS",,,"Chemistry, Environment","","Operando; Spectroscopy; CO2 Utilization; EXAFS; Catalysis","Carbon Capture and Storage (CCS)","Earth Sciences & Environment, Climate Change, Physical Chemistry, Catalysis, Chemistry, Chemical Engineering, Engineering & Technology, Spectroscopy, X-ray Absorption Spectroscopy (XAS), Extended X-ray Absorption Fine Structure (EXAFS)",,,"20/11/2023"
"16758",,,"DLS:00001A000016758","Laser-induced crystallisation offers a quicker route to smart windows","Diamond Light Source","false","Published (Approved)","11/2023","29451","Science Highlight",,,,,"false",,"true","true","I09-Surface and Interface Structural Analysis",,,"Materials, Physics","","vanadium oxide; sol gel; laser; thermochromic; smart windows; photonic curing","Smart Windows","Surfaces, Physics, Electronics, Materials Science, interfaces and thin films, Spectroscopy, X-ray Photoelectron Spectroscopy (XPS), Hard X-ray Photoelectron Spectroscopy (HAXPES)",,,"20/11/2023"
"16786",,,"DLS:000015000016786","Intercepting the inflammation signal","Diamond Light Source","false","Published (Approved)","11/2023","23091","Science Highlight",,,,,"false",,"true","true","B21-High Throughput SAXS","ID23-1, ID23-2 at ESRF",,"Biology and Bio-materials, Medicine","",,,"Health & Wellbeing, Structural biology, Biophysics, Drug Discovery, Life Sciences & Biotech, Scattering, Small Angle X-ray Scattering (SAXS)",,,"28/11/2023"
"16657",,,"DLS:000011000016657","Bleomycin: cancer drug with a hidden flaw","Diamond Light Source","false","Published (Approved)","10/2023","10479, 9785","Science Highlight",,,,,"false",,"true","true","B23-Circular Dichroism",,,"Biology and Bio-materials, Chemistry, Medicine","","bleomycin; pharmacokinetic; protein complex stability; binding affinity; plasma proteins; acid glycoprotein; serum albumin",,"Non-Communicable Diseases, Health & Wellbeing, Cancer, Biochemistry, Chemistry, Drug Discovery, Life Sciences & Biotech, Spectroscopy, Circular Dichroism (CD)",,,"25/10/2023"
"16706",,,"DLS:000004000016706","More brain-like computers could cut IT energy costs","Diamond Light Source","false","Published (Approved)","10/2023","30282","Science Highlight",,,,,"false",,"true","true","I06-Nanoscience (XPEEM)",,,"Materials, Physics, Information and Communication Technology","",,,"Artificial Intelligence, Physics, Computing & software technologies, Information & Communication Technologies, Magnetism, Materials Science, Microscopy, Electron Microscopy (EM), PhotoEmmission Electron Microscopy (PEEM)",,,"07/11/2023"
"16658",,,"DLS:000006000016658","Can synchrotron studies uncover the elusive axion?","Diamond Light Source","false","Published (Approved)","09/2023","27353","Science Highlight",,,,,"false",,"true","true","I16-Materials and Magnetism","P09 at PETRA III",,"Materials, Physics","",,"Ferromagnetism","Quantum Materials, Physics, Hard condensed matter - structures, Magnetism, Scattering, Resonant Elastic X-ray Scattering (REXS)",,,"25/10/2023"
"16660",,,"DLS:000013000016660","Good vibrations again: MOFs may be the key to scavenging mechanical energy","Diamond Light Source","false","Published (Approved)","09/2023","27504","Science Highlight",,,,,"false",,"true","true","B22-Multimode InfraRed imaging And Microspectroscopy",,,"Materials, Chemistry, Energy","","First fabricated in 2012, triboelectric nanogenerators (TENGs) are a new power-generation technology that can scavenge mechanical energy from the environment and convert it into electricity. Although they offer considerable promise for powering smart sens",,"Energy, Energy Materials, Chemistry, Materials Science, Metal-Organic Frameworks, Composite Materials, Nanoscience/Nanotechnology, Polymer Science, Metallurgy, Spectroscopy, Infrared Spectroscopy, Synchtron-based Fourier Transform Infrared Spectroscopy (SR-FTIR), Organometallic Chemistry",,,"25/10/2023"
"16659",,,"DLS:000008000016659","Cooking residues can cling on to indoor pollutants","Diamond Light Source","false","Published (Approved)","09/2023","23096","Science Highlight",,,,,"false",,"true","true","I22-Small angle scattering & Diffraction","INTER at ISIS; FIGARO at Institute Laue-Langevin",,"Materials, Chemistry, Environment","","surfactant aerosol; atmospheric ageing; organic films; indoor films",,"Desertification & Pollution, Earth Sciences & Environment, Atmospheric Processes, Chemistry, Materials Science, Organic Chemistry, Scattering, Small Angle X-ray Scattering (SAXS)",,,"25/10/2023"
"16662",,,"DLS:000003000016662","Deciphering the sugar transport in plants","Diamond Light Source","false","Published (Approved)","08/2023","30015, 23316, 17844","Science Highlight",,,,,"false",,"true","true","I04-Macromolecular Crystallography, I24-Microfocus Macromolecular Crystallography","BioMAX at MAX IV; DESY-PETRA III",,"Biology and Bio-materials","",,,"Plant science, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"25/10/2023"
"16663",,,"DLS:00000A000016663","Automating the crystallography jigsaw puzzle","Diamond Light Source","false","Published (Approved)","08/2023","26986, 27088","Science Highlight",,,,,"false",,"true","true","I24-Microfocus Macromolecular Crystallography",,,"Information and Communication Technology, Biology and Bio-materials","","xia2.multiplex; multi-crystal data sets; data processing; data analysis; partial data sets; SARS-CoV-2","COVID-19; Viruses","Pathogens, Infectious Diseases, Health & Wellbeing, Information & Communication Technologies, Structural biology, Data processing, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"25/10/2023"
"16661",,,"DLS:000002000016661","Fighting back against devastating parasites","Diamond Light Source","false","Published (Approved)","08/2023","24948","Science Highlight",,,,,"false",,"true","true","I03-Macromolecular Crystallography",,,"Biology and Bio-materials, Medicine","","amino-acid metabolism; cysteine synthase; PLP-dependent enzymes; X-ray crystallography; Chagas disease; leishmaniasis; Trypanosoma theileri; Trypanosoma cruzi; Leishmania infantum","Chagas Disease; Leishmaniasis; Enzymes","Infectious Diseases, Disease in the Developing World, Health & Wellbeing, Structural biology, Drug Discovery, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX), Parasitology",,,"25/10/2023"
"16664",,,"DLS:00000B000016664","Developing a varifocal X-ray lens","Diamond Light Source","false","Published (Approved)","07/2023","28044, 33737","Science Highlight",,,,,"false",,"true","true","B16-Test Beamline",,,"Physics","Optics",,,"Optics, Physics, Diffraction",,,"25/10/2023"
"16665",,,"DLS:000017000016665","Differences in bumblebee vision help different species share resources","Diamond Light Source","false","Published (Approved)","07/2023","13848, 16052, 17632, 20385","Science Highlight",,,,,"false",,"true","true","I13-2-Diamond Manchester Imaging",,,"Biology and Bio-materials, Environment","","sensory traits; vision; microhabitat niche partitioning; bilberry; bumblebees",,"Earth Sciences & Environment, Ecosystems & Biodiversity, Agriculture & Fisheries, Life Sciences & Biotech, Imaging, Tomography",,,"25/10/2023"
"16666",,,"DLS:00000C000016666","A carnivorous plant offers hope of a therapy for coeliac disease","Diamond Light Source","false","Published (Approved)","07/2023","19915","Science Highlight",,,,,"false",,"true","true","I04-1-Macromolecular Crystallography (fixed wavelength)","ID30B at ESRF; XALOC at ALBA",,"Biology and Bio-materials, Medicine","",,"Coeliac Disease","Non-Communicable Diseases, Autoimmune Diseases, Health & Wellbeing, Structural biology, Drug Discovery, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"25/10/2023"
"16674",,,"DLS:000016000016674","Folding and unfolding of magnetic skyrmion strings in higher dimensions","Diamond  Light Source","false","Published (Approved)","06/2023","27692, 28933, 30749","Science Highlight",,,,,"false",,"true","true","I10-Beamline for Advanced Dichroism - scattering",,,"Materials, Physics","","skyrmions; 3D topological textures; topological defects; 3D magnetic structure characterization; resonant elastic X-ray scattering","Skyrmions","Quantum Materials, Physics, Magnetism, Materials Science, Scattering, Resonant Elastic X-ray Scattering (REXS)",,,"31/10/2023"
"16675",,,"DLS:000007000016675","Serpentinization offers clues to the early history of Mars","Diamond Light Source","false","Published (Approved)","06/2023","15947","Science Highlight",,,,,"false",,"true","true","I18-Microfocus Spectroscopy",,,"Earth Science, Chemistry","",,"Mars","Earth Sciences & Environment, Mineralogy, Geology, Spectroscopy, X-ray Absorption Spectroscopy (XAS), X-ray Absorption Near Edge Structure (XANES), Geochemistry, Planetary Geology",,,"31/10/2023"
"16676",,,"DLS:000000000016676","Targeting a key COVID protein with antivirals","Diamond Light Source","false","Published (Approved)","06/2023","27083, 29349","Science Highlight",,,,,"false",,"true","true","Krios II-Titan Krios II at Diamond",,,"Biology and Bio-materials, Medicine","","Cryoelectron microscopy; Drug discovery; Proteases; SARS-CoV-2","COVID-19; Viruses","Pathogens, Infectious Diseases, Health & Wellbeing, Structural biology, Drug Discovery, Life Sciences & Biotech, Microscopy, Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM)",,,"31/10/2023"
"16685",,,"DLS:000000000016685","Understanding how the structure of boron oxynitride affects its photocatalytic properties","Diamond Light Source","false","Published (Approved)","05/2023","26511","Science Highlight",,,,,"false",,"true","true","B07-C-Versatile Soft X-ray beamline: Ambient Pressure XPS and NEXAFS",,,"Chemistry, Materials, Energy","",,"Photocatalysis; Solar Fuel","Energy Storage, Earth Sciences & Environment, Sustainable Energy Systems, Energy, Climate Change, Physical Chemistry, Catalysis, Energy Materials, Chemistry, Materials Science, Spectroscopy, X-ray Absorption Spectroscopy (XAS), Near Edge X-ray Absorption Fine Structures (NEXAFS)",,,"01/11/2023"
"16686",,,"DLS:00003E000016686","Novel synthetic approach towards large-sized inorganic-organic hybrid glass","Diamond Light Source","false","Published (Approved)","05/2023","30401","Science Highlight",,,,,"false",,"true","true","I15-1-X-ray Pair Distribution Function (XPDF)",,,"Materials, Chemistry","","National Key R&D Program of China; National Natural Science Foundation of China; East China Normal University; Shanghai Institute of Optics and Fine Mechanics, Chinese Academy of Sciences; Royal Society; University of Canterbury TeWhareWānanga o Waitaha",,"Chemistry, Materials Science, Metal-Organic Frameworks, Metallurgy, Scattering, Pair Distribution Function (PDF), Organometallic Chemistry",,,"01/11/2023"
