"sep=	"
Document type	Open Access	Number	Authors countries	Authors	Title	Journal title	Volume	Pages	Year	Beamline(s)	Facility used	Proposal number	DOI	DOI added	WoS Number
Journal article		ESRF24AN1364	Italy	Andreana I., Chiapasco M., Bincoletto V., Digiovanni S., Manzoli M., Ricci C., Del Favero E., Riganti C., Arpicco S., Stella B.	Targeting pentamidine towards CD44-overexpressing cells using hyaluronated lipid-polymer hybrid nanoparticles	Drug Delivery and Translational Research	14	2100-2111	2024	ID2/PSCM	ESRF (Grenoble)	MD-1406	10.1007/s13346-024-01617-7		
Journal article		ESRF24AN1267	Italy	Angeli A., Ferraroni M., Capasso C., Supuran C.T.	The dopamine D2 receptors antagonist Veralipride inhibits carbonic anhydrases: Solution and crystallographic insights on human isoforms	Chemistry - An Asian Journal	19	e202400067-1-e202400067-6	2024	ID30B	ESRF (Grenoble)/ELETTRA (Triestre)		10.1002/asia.202400067		WOS:001176524300001
Journal article		ESRF24AR1061	Germany	Arinkin V., Granzin J., Jaeger K.E., Willbold D., Krauss U., Batra-Safferling R.	Conserved signal transduction mechanisms and dark recovery kinetic tuning in the Pseudomonadaceae short Light, Oxygen, Voltage (LOV) protein family	Journal of Molecular Biology	436	168458-1-168458-20	2024	ID23-2	ESRF (Grenoble)/PETRA III	MX-2374, MX-2274	10.1016/j.jmb.2024.168458		
Journal article	OA	ESRF24AR1493	France (not ESRF)	Arragain B., Krischuns T., Pelosse M., Drncová P., Blackledge M., Naffakh N., Cusack S.	Structures of influenza A and B replication complexes give insight into avian to human host adaptation and reveal a role of ANP32 as an electrostatic chaperone for the apo-polymerase	Nature Communications	15	6910-1-6910-20	2024	CM01	ESRF (Grenoble)	MX-2440	10.1038/s41467-024-51007-3		
Journal article	OA	ESRF24AR1526	Spain/USA	Arroyo-Urea S., Nazarova A.L., Carrión-Antoli Á., Bonifazi A., Battiti F.O., Lam J.H., Newman A.H., Katritch V., García-Nafría J.	A bitopic agonist bound to the dopamine 3 receptor reveals a selectivity site	Nature Communications	15	7759-1-7759-13	2024	CM01	ESRF (Grenoble)	MX-2369	10.1038/s41467-024-51993-4		
Journal article	OA	ESRF24AR1331	Switzerland/Australia	Artuk K., Turkay D., Mensi M.D., Steele J.A., Jacobs D.A., Othman M., Chin X.Y., Moon S.J., Tiwari A.N., Hessler-Wyser A., Jeangros Q., Ballif C., Wolff C.M.	A universal perovskite/C60 interface modification via atomic layer deposited aluminum oxide for perovskite solar cells and perovskite-silicon tandems	Advanced Materials	36	2311745-1-2311745-10	2024	BM1	ESRF (Grenoble)	MA-4944	10.1002/adma.202311745		WOS:001173332000001
Journal article		ESRF24AU1410	France (not ESRF)	Auclerc M., Bru-Chambet A., Fulchiron R., Sudre G., Garois N., Cassagnau P., Bounor-Legaré V.	Nanostructuration of polyamide 6/polyetheramines blends by reactive extrusion: Reducing viscosity while improving the tensile properties	Industrial & Engineering Chemistry Research	63	12403-12412	2024	BM2	ESRF (Grenoble)		10.1021/acs.iecr.4c00952		
Journal article		ESRF24AV1445	Italy/Hungary	Avola T., Campisi S., Scavini M., Bossola F., Evangelisti C., Lázár K., Gervasini A.	An effective cascade strategy over a Sn-enriched phosphate material: Upcycling a reductive adsorbent into an environmental catalyst	Applied Surface Science	672	160734-1-160734-13	2024	ID15A	ESRF (Grenoble)	CH-6703	10.1016/j.apsusc.2024.160734		
Journal article	OA	ESRF24BA1357	Czech Republic/Germany	Bach K., Dohnálek J., Skerlová J., Kuzmík J., Poláchová E., Stanchev S., Majer P., Fanfrlík J., Pecina A., Rezac J., Lepsik M., Borshchevskiy V., Polovinkin V., Strisovsky K.	Extensive targeting of chemical space at the prime side of ketoamide inhibitors of rhomboid proteases by branched substituents empowers their selectivity and potency	European Journal of Medicinal Chemistry	275	116606-1-116606-13	2024	ID23-1	ESRF (Grenoble)	MX-2270	10.1016/j.ejmech.2024.116606		
Journal article	OA	ESRF24BA1434	Italy	Balasco N., Ruggiero A., Smaldone G., Pecoraro G., Coppola L., Pirone L., Pedone E.M., Esposito L., Berisio R., Vitagliano L.	Structural studies of KCTD1 and its disease-causing mutant P20S provide insights into the protein function and misfunction	International Journal of Biological Macromolecules	277	134390-1-134390-11	2024	ID30B	ESRF (Grenoble)		10.1016/j.ijbiomac.2024.134390		
Journal article	OA	ESRF24BA1416	Italy/Switzerland	Balboni B., Marotta R., Rinaldi F., Milordini G., Varignani G., Girotto S., Cavalli A.	An integrative structural study of the human full-length RAD52 at 2.2 Å resolution	Communications Biology	7	956-1-956-12	2024	BM29_BIOSAXS	ESRF (Grenoble)	MX-2403	10.1038/s42003-024-06644-1		
Journal article	OA	ESRF24BA1216	France (not ESRF)	Balima M., Morfin I., Sudre G., Montembault A.	Stretchable hydrogels of chitosan/hyaluronic acid induced by polyelectrolyte complexation around neutral pH	Carbohydrate Polymers	339	122265-1-122265-12	2024	BM2	ESRF (Grenoble)	A02-1-908	10.1016/j.carbpol.2024.122265		
Journal article		ESRF24BA1031	France (not ESRF)	Bancet A., Frem R., Jeanneret F., Mularoni A., Bazelle P., Roelants C., Delcros J.G., Guichou J.F., Pillet C., Coste I., Renno T., Battail C., Cochet C., Lomberget T., Filhol O., Krimm I.	Cancer selective cell death induction by a bivalent CK2 inhibitor targeting the ATP site and the allosteric αD pocket	iScience	27	108903-1-108903-23	2024	ID30B	ESRF (Grenoble)		10.1016/j.isci.2024.108903		
Journal article		ESRF24BA1041	Italy/Belarus/Germany	Bandiera L., Camattari R., Canale N., De Salvador D., Guidi V., Klag P., Lauth W., Mazzolari A., Negrello R., Paternò G., Romagnoni M., Sgarbossa F., Soldani M., Sytov A., Tikhomirov V.V.	Investigation of radiation emitted by sub GeV electrons in oriented scintillator crystals	Nuclear Instruments and Methods in Physics Research A	1060	169022-1-169022-4	2024	BM5/ID11	ESRF (Grenoble)		10.1016/j.nima.2023.169022		
Journal article		ESRF24BA1060	Italy/Poland/UK/Germany	Baran T., Wojtyla S., Scavini M., Carlà F., Welter E., Comparelli R., Dibenedetto A., Aresta M.	Copper–zinc oxide heterostructure photocathodes for hydrogen and methanol production	Materials Today Advances	21	100477-1-100477-12	2024	ID3	ESRF (Grenoble)/PETRA III	IHR	10.1016/j.mtadv.2024.100477		
Journal article		ESRF24BA1322	Russia	Baranchikov A.E, Kozlova T.O., Istomin S.Y., Mironov A.V., Vasilchikova T.M., Gippius A.A., Plakhova T.V., Vasilyeva D.N., Ivanov V.K.	Sodium cerium phosphate, (Na,Ce)2Ce(PO4)2·xH2O, with mixed cerium oxidation states	ChemistrySelect	9	e202401010-1-e202401010-8	2024	BM20	ESRF (Grenoble)	MD-1213	10.1002/slct.202401010		WOS:001211001600001
Journal article	OA	ESRF24BA1541	Czech Republic/France (not ESRF)	Baranova I., Angelova A., Stransky J., Andreasson J., Angelov B.	Hemoglobin–PEG interactions probed by small-angle X-ray scattering: Insights for crystallization and diagnostics applications	Journal of Physical Chemistry B	128	9262-9273	2024	ID2	ESRF (Grenoble)	SC-5327	10.1021/acs.jpcb.4c03003		
Journal article	OA	ESRF24BA1070	Australia/China/France (not ESRF)/Germany/Greece/India/Italy/Sweden/The Netherlands/UK/USA/Austria	Barrat J.L., Del Gado E., Egelhaaf S.U., Mao X., Dijkstra M., Pine D.J., Kumar S.K., Bishop K., Gang O., Obermeyer A., Papadakis C.M., Tsitsilianis C., Smalyukh I.I., Hourlier-Fargette A., Andrieux S., Drenckhan W., Wagner N., Murphy R.P., Weeks E.R., Cerbino R., Han Y., Cipelletti L., Ramos L., Poon W.C.K., Richards J.A., Cohen I., Furst E.M., Nelson A., Craig S.L., Ganapathy R., Sood A.K., Sciortino F., Mungan M., Sastry S., Scheibner C., Fruchart M., Vitelli V., Ridout S.A., Stern M., Tah I., Zhang G., Liu A.J., Osuji C.O., Xu Y., Shewan H.M., Stokes J.R., Merkel M., Ronceray P., Rupprecht J.F., Matsarskaia O., Schreiber F., Roosen-Runge F., Aubin-Tam M.E., Koenderink G.H., Espinosa-Marzal R.M., Yus J., Kwon J.	Soft matter roadmap	Journal of Physics: Materials	7	012501-1-012501-104	2024		ESRF (Grenoble)		10.1088/2515-7639/ad06cc		
Journal article	OA	ESRF24BA1008	Portugal	Bárria C., Athayde D., Hernandez G., Fonseca L., Casinhas J., Cordeiro T.N., Archer M., Arraiano C.M., Brito J.A., Matos R.G.	Structure and function of Campylobacter jejuni polynucleotide phosphorylase (PNPase): Insights into the role of this RNase in pathogenicity	Biochimie	216	56-70	2024	ID30B	ESRF (Grenoble)/DIAMOND (Didcot)		10.1016/j.biochi.2023.10.006		
Journal article		ESRF24BA1123	France (not ESRF)/Czech Republic/Australia/UK	Bauda E., Gallet B., Moravcova J., Effantin G., Chan H., Novácek J., Jouneau P.H., Rodrigues C.D.A., Schoehn G., Moriscot C., Morlot C.	Ultrastructure of macromolecular assemblies contributing to bacterial spore resistance revealed by in situ cryo-electron tomography	Nature Communications	15	1376-1-1376-12	2024	CM01	ESRF (Grenoble)		10.1038/s41467-024-45770-6		WOS:001162717700027
Journal article	OA	ESRF24BA1522	Switzerland/India/Germany/Austria	Bauernfeind V., Saranathan V., Djeghdi K., Longo E., Flenner S., Greving I., Steiner U., Wilts B.D.	Not only a matter of disorder in I-WP minimal surface-based photonic networks: Diffusive structural color in Sternotomis amabilis longhorn beetles	Materials Today Advances	23	100524-1-100524-13	2024	ID2	ESRF (Grenoble)/PETRA III	SC-5238	10.1016/j.mtadv.2024.100524		
Journal article		ESRF24BA1363	France (not ESRF)	Bauland J., Bouthier L.V., Poulesquen A., Gibaud T.	Attractive carbon black dispersions: Structural and mechanical responses to shear	Journal of Rheology	68	429-443	2024	ID2	ESRF (Grenoble)	SC-5236	10.1122/8.0000791		
Journal article		ESRF24BA1243	Denmark/UK/Belgium	Bay Y., Venskutonyté R., Frantsen S.M., Thorsen T.S., Musgaard M., Frydenvang K., Francotte P., Pirotte B., Biggin P.C., Kristensen A.S., Boesen T., Pickering D.S., Gajhede M., Kastrup J.S.	Small-molecule positive allosteric modulation of homomeric kainate receptors GluK1-3: Development of screening assays and insight into GluK3 structure	FEBS Journal	291	1506-1529	2024	ID23-2	DIAMOND (Didcot)/ESRF (Grenoble)/MAX-Lab (Lund)	MX-1691	10.1111/febs.17046		WOS:001174813400001
Journal article	OA	ESRF24BE1320	Germany	Beck J., Shanmugaratnam S., Höcker B.	Diversifying de novo TIM barrels by hallucination	Protein Science	33	e5001-1-e5001-11	2024	ID30B/BM29_BIOSAXS	ESRF (Grenoble)/PETRA III		10.1002/pro.5001		WOS:001216540700001
Journal article		ESRF24BE1149	Spain/France (not ESRF)/Norway	Belloso-Casuso C., de Pedro I., Cañadillas-Delgado L., Beobide G., Sánchez-Andújar M., Ben J.G., Walker J., González Izquierdo P., Cano I., Fernández J.R., Fabelo O.	Structural and physico-chemical characterization of hybrid materials based on globular quinuclidinium cation derivatives and tetrachloridocobaltate(II) anions	CrystEngComm	26	439-451	2024	BM1	ESRF (Grenoble)		10.1039/d3ce00759f		WOS:001108237600001
Journal article		ESRF24BE1495	France (not ESRF)	Benarib S., Muñoz M., Kieffer I., Hazemann J., Dacheux N., Clavier N.	Reductive hydrothermal conversion of uranyl oxalates into UO2+x monitored by in situ XANES analyses	Dalton Transactions	53	13982-13995	2024	BM30	ESRF (Grenoble)		10.1039/D4DT01451K		
Journal article	OA	ESRF24BE1455	Algeria/Turkey/Sweden	Berramdan N.E.H., Boutefnouchet H., Zidani M., Yamanoglu R., Curfs C.	Milling parameter optimization for refinement of NiO/Al mixtures and synthesis of Ni/Al2O3 nanocomposites	Journal of Mining and Metallurgy B	60	45-58	2024	ID31_BIB	ESRF (Grenoble)		10.2298/JMMB230930004B		
Journal article	OA	ESRF24BE1544	Italy/France (not ESRF)	Bertini L., Libera V., Catalini S., Schirò G., Orecchini A., Campanella R., Arciuolo V., Pagano B., Petrillo C., De Michele C., Comez L., Paciaroni A.	Hindered intermolecular stacking of anti-parallel telomeric G-quadruplexes	Journal of Chemical Physics	161	105101-1-105101-7	2024	BM29_BIOSAXS	ESRF (Grenoble)	MX-2498	10.1063/5.0225371		
Journal article	OA	ESRF24BE1444	The Netherlands	Beugelink J.W., Hóf H., Janssen B.J.C.	CRTAC1 has a compact β-propeller–TTR core stabilized by potassium ions	Journal of Molecular Biology	436	168712-1-168712-13	2024	ID23-1	ESRF (Grenoble)/DIAMOND (Didcot)	MX-2407	10.1016/j.jmb.2024.168712		
Journal article		ESRF24BE1540	Italy	Bezuidenhout C.X., Perego J., Piva S., Rigamonti A., Sozzani P., Monguzzi A., Bracco S., Comotti A.	Heteroligand Zr-MOFs explored by xenon: Active site recognition by synchrotron PXRD, hyperpolarization NMR, and GCMC simulations	Crystal Growth & Design	24	7712-7719	2024	ID22_HRPD	ESRF (Grenoble)	HC-5193	10.1021/acs.cgd.4c01054		
Journal article		ESRF24BI1033	Italy	Bianchi E., Ruggeri M., Del Favero E., Pisano R., Artusio F., Ricci C., Vigani B., Ferraretto A., Boselli C., Cornaglia A.I., Rossi S., Sandri G.	Chondroitin sulfate and caseinophosphopeptides doped polyurethane-based highly porous 3D scaffolds for tendon-to-bone regeneration	International Journal of Pharmaceutics	652	123822-1-123822-12	2024	ID2	ESRF (Grenoble)	SC-5178, MD-1406	10.1016/j.ijpharm.2024.123822		
Journal article		ESRF24BI1081	India	Biswas S., Patra A., Paul P., Misra N., Kushwaha G.S., Suar M.	Structural and biochemical studies on Klebsiella Pneumoniae enoyl-ACP reductase (FabI) suggest flexible substrate binding site	Protein Journal	43	84-95	2024	ID23-1	ESRF (Grenoble)		10.1007/s10930-023-10176-8		
Journal article	OA	ESRF24BL1504	Spain	Blasco J., Gracia D., Lafuerza S., Cuartero V., Subías G.	Effects of doping with magnetic cations on the hybrid improper ferroelectricity in Sr3Sn2O7	Journal of Alloys and Compounds	1005	176148-1-176148-8	2024	BM23	ESRF (Grenoble)		10.1016/j.jallcom.2024.176148		
Journal article		ESRF24BL1030	France (not ESRF)/Ecuador/Belgium	Blommaert H., Sarret G., Chavez E., Smolders E., Vanderschueren R.	Cadmium speciation in cacao beans changes during a fermentation-like incubation	Food Chemistry	431	137068-1-137068-9	2024	BM30	ESRF (Grenoble)/Soleil (Orsay)	EV-468	10.1016/j.foodchem.2023.137068		
Journal article	OA	ESRF24BO1265	Australia	Bobrin V.A., Hackbarth H.G., Yao Y., Kundu D., Bedford N.M., Kuchel R.P., Zhang J., Corrigan N., Boyer C.	Design and 3D printing of polyacrylonitrile-derived nanostructured carbon architectures	Small Science	4	2300275-1-2300275-10	2024	ID11	ESRF (Grenoble)		10.1002/smsc.202300275		WOS:001173796500001
Journal article		ESRF24BO1094	India/Italy/Switzerland/Korea	Bodnarchuk M.I., Feld L.G., Zhu C., Boehme S.C., Bertolotti F., Avaro J., Aebli M., Mir S.H., Masciocchi N., Erni R., Chakraborty S., Guagliardi A., Rainò G., Kovalenko M.V.	Colloid alaziridinium lead bromide quantum dots	ACS Nano	18	5684-5697	2024	BM1	ESRF (Grenoble)/SLS (PSI) (Villigen)	IHR, CH-6350	10.1021/acsnano.3c11579		
Journal article	OA	ESRF24BO1201	France (not ESRF)	Bollaert Q., Chassé M., Morin G., Baptiste B., Courtin A., Galoisy L., Landrot G., Quantin C., Calas G.	Atomic-scale environment of niobium in ore minerals as revealed by XANES and EXAFS at the Nb K-edge	European Journal of Mineralogy	36	55-72	2024	BM23	ESRF (Grenoble)/Soleil (Orsay)	IH-ES-63	10.5194/ejm-36-55-2024		
Journal article	OA	ESRF24BO1230	France (not ESRF)	Bories P., Rima J., Tranier S., Marcoux J., Grimoire Y., Tomaszczyk M., Launay A., Fata K., Marrakchi H., Burlet-Schiltz O., Mourey L., Ducoux-Petit M., Bardou F., Bon C., Quémard A.	HadBD dehydratase from Mycobacterium tuberculosis fatty acid synthase type II: A singular structure for a unique function	Protein Science	33	e4964-1-e4964-19	2024	BM29_BIOSAXS	ALBA (Barcelona)/ESRF (Grenoble)/Soleil (Orsay)		10.1002/pro.4964		WOS:001187180200001
Journal article	OA	ESRF24BO1421	France (not ESRF)	Botova M., Camacho-Zarco A.R., Tognetti J., Mamigonian Bessa L., Guseva S., Mikkola E., Salvi N., Maurin D., Herrmann T., Blackledge M.	A specific phosphorylation-dependent conformational switch in SARS-CoV-2 nucleocapsid protein inhibits RNA binding	Science Advances	10	eaax2323-1-eaax2323-15	2024	BM29_BIOSAXS	ESRF (Grenoble)		10.1126/sciadv.aax2323		
Journal article	OA	ESRF24BO1280	France (not ESRF)/USA	Bourne Y., Sulzenbacher G., Chabaud L., Aráoz R., Radic Z., Conrod S., Taylor P., Guillou C., Molgó J., Marchot P.	the cyclic imine core common to the marine macrocyclic toxins is sufficient to dictate nicotinic acetylcholine receptor antagonism	Marine Drugs	22	149-1-149-27	2024	ID14-1/ID23-1	ESRF (Grenoble)/Soleil (Orsay)		10.3390/md22040149		WOS:001209937300001
Journal article	OA	ESRF24BO1289	The Netherlands/Italy/Argentina	Boverio A., Jamil N., Mannucci B., Mascotti M.L., Fraaije M.W., Mattevi A.	Structure, mechanism, and evolution of the last step in vitamin C biosynthesis	Nature Communications	15	4158-1-4158-10	2024	ID30B/ID23-1	ESRF (Grenoble)	MX-2591	10.1038/s41467-024-48410-1		
Journal article		ESRF24BR1456	France (not ESRF)	Braik T., Mangelinck-Noël N., Reinhart G., Debierre J.M.	Interplay between facetting and confinement in directional solidification of silicon: A direct comparison between experiments and phase-field simulations	Journal of Crystal Growth	626	127458-1-127458-9	2024	BM5/ID19	ESRF (Grenoble)		10.1016/j.jcrysgro.2023.127458		
Journal article	OA	ESRF24BR1337	Sweden	Breidenstein A., Lamy A., Bader C.P.J., Sun W.S., Wanrooij P.H., Berntsson R.P.A.	PrgE: An OB-fold protein from plasmid pCF10 with striking differences to prototypical bacterial SSBs	Life Science Alliance	7	e202402693-1-e202402693-14	2024	ID23-1/ID30A-3	ESRF (Grenoble)	MX-2583, MX-2495	10.26508/lsa.202402693		WOS:001237924100001
Journal article		ESRF24BR1090	Norway	Brennhagen A., Skautvedt C., Cavallo C., Wragg D.S., Koposov A.Y., Sjåstad A.O., Fjellvåg H.	Unraveling the (de)sodiation mechanisms of BiFeO3 at a high rate with operando XRD	ACS Applied Materials & Interfaces	16	12428-12436	2024	BM31	ESRF (Grenoble)	A31-1-207	10.1021/acsami.3c17296		
Journal article	OA	ESRF24BR1468	Norway/Italy	Brennhagen A., Skurtveit A., Wragg D.S., Cavallo C., Sjåstad A.O., Koposov A.Y., Fjellvåg H.	(De)sodiation mechanism of Bi2MoO6 in Na-ion batteries probed by quasi-simultaneous operando PDF and XAS	Chemistry of Materials	36	7514-7524	2024	BM31	ESRF (Grenoble)	A31-1-207, A31-1-181	10.1021/acs.chemmater.4c01503		
Journal article	OA	ESRF24BR1247	Germany	Brocks C., Das C.K., Duan J., Yadav S., Apfel U.P., Ghosh S., Hofmann E., Winkler M., Engelbrecht V., Schäfer L.V., Happe T.	A Dynamic water channel affects O2 stability in [FeFe]-hydrogenases	ChemSusChem	17	e202301365-1-e202301365-7	2024	ID30B	ESRF (Grenoble)/PETRA III		10.1002/cssc.202301365		WOS:001107057200001
Journal article		ESRF24BR1141	France (not ESRF)	Brunel F., Galanopoulo P., Espinosa Rodriguez E., Lansalot M., D'Agosto F.	In situ SAXS investigation of vinyl acetate polymerization-induced self-assembly	Polymer Chemistry	15	979-990	2024	BM2	ESRF (Grenoble)		10.1039/d3py01381b		WOS:001158901300001
Journal article	OA	ESRF24BR1276	Italy	Bruni G., Capsoni D., Pellegrini A., Altomare A., Coduri M., Ferrara C., Galinetto P., Molteni R.	New Findings on the Crystal Polymorphism of Imepitoin	Molecules	29	1724-1-1724-22	2024	ID22_HRPD	ESRF (Grenoble)		10.3390/molecules29081724		
Journal article		ESRF24BU1403	Greece/UK	Burger N.A., Loppinet B., Clarke A., Petekidis G.	Tuning the mechanical properties of organophilic clay dispersions: Particle composition and preshear history effects	Journal of Rheology	68	695-707	2024	ID2	ESRF (Grenoble)	IH-SC-785	10.1122/8.0000854		
Journal article	OA	ESRF24BU1336	France (not ESRF)/Germany	Burmeister W.P., Boutin L., Balestra A.C., Gröger H., Ballandras-Colas A., Hutin S., Kraft C., Grimm C., Böttcher B., Fischer U., Tarbouriech N., Iseni F.	Structure and flexibility of the DNA polymerase holoenzyme of vaccinia virus	PLoS Pathogens	20	e1011652-1-e1011652-22	2024	BM29_BIOSAXS	ESRF (Grenoble)/Soleil (Orsay)	MX-2068	10.1371/journal.ppat.1011652		WOS:001227969900004
Journal article	OA	ESRF24BU1501	Austria/Germany	Busetto V., Pshanichnaya L., Lichtenberger R., Hann S., Ketting R.F., Falk S.	MUT-7 exoribonuclease activity and localization are mediated by an ancient domain	Nucleic Acids Research	52	9076-9091	2024	ID30B	ESRF (Grenoble)	MX-2503	10.1093/nar/gkae610		
Journal article		ESRF24BU1207	Switzerland	Buttignol F., Maggiulli L., Kochetygov I., Alxneit I., Ferri D.	Operando spectroscopy of catalysts exploiting multi-technique and modulated excitation approaches	Chimia	78	313-319	2024	ID15A	ESRF (Grenoble)/SLS (PSI) (Villigen)	MA-5630, MA-6132	10.2533/chimia.2024.313		
